title,medium,faculty,category,topic,year,genres,keywords,directorCreator,country,description,metadataSource,metadataStatus,seasons,runYears,network,MediaType
Isle of Dogs,Film,David Sedman,Personal Top 10,,2018,Animation; Adventure; Comedy; Stop motion,Animation; Adventure; Comedy; Stop motion,Wes Anderson,,,https://www.wikidata.org/w/index.php?search=Isle%20of%20Dogs,Director/creator baseline added,,,,Animated Film
Spirited Away,Film,David Sedman,Personal Top 10,,2001,Animation; Fantasy; Adventure,Animation; Fantasy; Adventure,Hayao Miyazaki,,,https://www.wikidata.org/w/index.php?search=Spirited%20Away,Director/creator baseline added,,,,Animated Film
Spirited Away,Film,Jennifer Prediger,Important or Influential,,2001,Animation; Fantasy; Adventure,Animation; Fantasy; Adventure,Hayao Miyazaki,,,https://www.wikidata.org/w/index.php?search=Spirited%20Away,Director/creator baseline added,,,,Animated Film
Hoop Dreams,Film,David Sedman,Personal Top 10,,1994,Documentary; Sports; Coming-of-age,Documentary; Sports; Coming-of-age,Steve James,,,https://www.wikidata.org/w/index.php?search=Hoop%20Dreams,Director/creator baseline added,,,,Documentary Film
Hoop Dreams,Film,Michelle Glasby-Millington,Important or Influential,,1994,Documentary; Sports; Coming-of-age,Documentary; Sports; Coming-of-age,Steve James,,,https://www.wikidata.org/w/index.php?search=Hoop%20Dreams,Director/creator baseline added,,,,Documentary Film
Strangers on a Train,Film,David Sedman,Inspired my work,,1951,Thriller; Film noir,Thriller; Film noir,Alfred Hitchcock,,,https://www.wikidata.org/w/index.php?search=Strangers%20on%20a%20Train,Director/creator baseline added,,,,Film
Hard Day's Night,Film,David Sedman,Inspired my work,,1964,Comedy; Musical,Comedy; Musical,Richard Lester,,,https://www.wikidata.org/w/index.php?search=Hard%20Day%27s%20Night,Director/creator baseline added,,,,Film
Perry Mason,Film,David Sedman,Inspired my work,,,Crime; Mystery; Legal,Crime; Mystery; Legal,William McGann,,,https://www.wikidata.org/w/index.php?search=Perry%20Mason,Director/creator baseline added,,,,Film
Dolemite,Film,David Sedman,Inspired my work,,1975,Action; Comedy; Blaxploitation,Action; Comedy; Blaxploitation,D'Urville Martin,,,https://www.wikidata.org/w/index.php?search=Dolemite,Director/creator baseline added,,,,Film
The General (Buster Keaton),Film,David Sedman,Inspired my work,,1926,Comedy; Action; Silent,Comedy; Action; Silent,Buster Keaton; Clyde Bruckman,,,https://www.wikidata.org/w/index.php?search=The%20General%20%28Buster%20Keaton%29,Director/creator baseline added,,,,Film
The General (Buster Keaton),Film,David Sedman,Important or Influential,,1926,Comedy; Action; Silent,Comedy; Action; Silent,Buster Keaton; Clyde Bruckman,,,https://www.wikidata.org/w/index.php?search=The%20General%20%28Buster%20Keaton%29,Director/creator baseline added,,,,Film
The General (Buster Keaton),Film,Rick Worland,Important or Influential,,1926,Comedy; Action; Silent,Comedy; Action; Silent,Buster Keaton; Clyde Bruckman,,,https://www.wikidata.org/w/index.php?search=The%20General%20%28Buster%20Keaton%29,Director/creator baseline added,,,,Film
Woman in the Window,Film,David Sedman,Inspired my work,,1944,Film noir; Thriller,Film noir; Thriller,Fritz Lang,,,https://www.wikidata.org/w/index.php?search=Woman%20in%20the%20Window,Director/creator baseline added,,,,Film
The Thin Blue Line,Film,David Sedman,Inspired my work,,1988,Documentary; Crime,Documentary; Crime,Errol Morris,,,https://www.wikidata.org/w/index.php?search=The%20Thin%20Blue%20Line,Director/creator baseline added,,,,Documentary Film
The Thin Blue Line,Film,David Sedman,Important or Influential,,1988,Documentary; Crime,Documentary; Crime,Errol Morris,,,https://www.wikidata.org/w/index.php?search=The%20Thin%20Blue%20Line,Director/creator baseline added,,,,Documentary Film
Persepolis,Film,David Sedman,Important or Influential,,2007,Animation; Drama; Autobiography,Animation; Drama; Autobiography,Marjane Satrapi; Vincent Paronnaud,,,https://www.wikidata.org/w/index.php?search=Persepolis,Director/creator baseline added,,,,Animated Film
Spiderman: Across the Universe,Film,David Sedman,Important or Influential,,2023,Animation; Action; Adventure; Superhero,Animation; Action; Adventure; Superhero,Joaquim Dos Santos; Kemp Powers; Justin K. Thompson,,,https://www.wikidata.org/w/index.php?search=Spiderman%3A%20Across%20the%20Universe,Director/creator baseline added,,,,Animated Film
The Novice,Film,David Sedman,Important or Influential,,2021,Drama; Sports; Thriller,Drama; Sports; Thriller,Lauren Hadaway,,,https://www.wikidata.org/w/index.php?search=The%20Novice,Director/creator baseline added,,,,Film
Hearts of Darkness: A Filmmaker's Apocalypse,Film,David Sedman,Important or Influential,,1991,Documentary; Filmmaking,Documentary; Filmmaking,Fax Bahr; George Hickenlooper; Eleanor Coppola,,,https://www.wikidata.org/w/index.php?search=Hearts%20of%20Darkness%3A%20A%20Filmmaker%27s%20Apocalypse,Director/creator baseline added,,,,Documentary Film
Ne Zha 2,Film,David Sedman,Important or Influential,,2025,Animation; Fantasy; Adventure,Animation; Fantasy; Adventure,Jiaozi,,,https://www.wikidata.org/w/index.php?search=Ne%20Zha%202,Director/creator baseline added,,,,Animated Film
Last Film Show,Film,David Sedman,Important or Influential,,2021,Drama; Coming-of-age,Drama; Coming-of-age,Pan Nalin,,,https://www.wikidata.org/w/index.php?search=Last%20Film%20Show,Director/creator baseline added,,,,Film
Citizen Kane,Film,David Sedman,Important or Influential,,1941,Drama; Mystery,Drama; Mystery,Orson Welles,,,https://www.wikidata.org/w/index.php?search=Citizen%20Kane,Director/creator baseline added,,,,Film
Singin' in the Rain,Film,David Sedman,Important or Influential,,1952,Musical; Comedy; Romance,Musical; Comedy; Romance,Gene Kelly; Stanley Donen,,,https://www.wikidata.org/w/index.php?search=Singin%27%20in%20the%20Rain,Director/creator baseline added,,,,Film
Singin' in the Rain,Film,Sean Griffin,Personal Top 10,,1952,Musical; Comedy; Romance,Musical; Comedy; Romance,Gene Kelly; Stanley Donen,,,https://www.wikidata.org/w/index.php?search=Singin%27%20in%20the%20Rain,Director/creator baseline added,,,,Film
Singin' in the Rain,Film,Mark Kerins,Personal Top 10,,1952,Musical; Comedy; Romance,Musical; Comedy; Romance,Gene Kelly; Stanley Donen,,,https://www.wikidata.org/w/index.php?search=Singin%27%20in%20the%20Rain,Director/creator baseline added,,,,Film
Mudbound,Film,David Sedman,Important or Influential,,2017,Drama; Historical,Drama; Historical,Dee Rees,,,https://www.wikidata.org/w/index.php?search=Mudbound,Director/creator baseline added,,,,Film
Wizard of Oz,Film,David Sedman,Important or Influential,,1939,Fantasy; Musical; Family,Fantasy; Musical; Family,Victor Fleming,,,https://www.wikidata.org/w/index.php?search=Wizard%20of%20Oz,Director/creator baseline added,,,,Film
Wizard of Oz,Film,Mark Kerins,Important or Influential,,1939,Fantasy; Musical; Family,Fantasy; Musical; Family,Victor Fleming,,,https://www.wikidata.org/w/index.php?search=Wizard%20of%20Oz,Director/creator baseline added,,,,Film
Fire of Love,Film,David Sedman,Important or Influential,,2022,Documentary; Biography; Romance,Documentary; Biography; Romance,Sara Dosa,,,https://www.wikidata.org/w/index.php?search=Fire%20of%20Love,Director/creator baseline added,,,,Documentary Film
Nightmare Alley (1947 / 2021 color / 2021 b&w),Film,David Sedman,Important or Influential,,1947; 2021,Film noir; Thriller; Drama,Film noir; Thriller; Drama,Edmund Goulding; Guillermo del Toro,,,https://www.wikidata.org/w/index.php?search=Nightmare%20Alley%20%281947%20/%202021%20color%20/%202021%20b%26w%29,Director/creator baseline added,,,,Film
The Graduate,Film,David Sedman,Important or Influential,,1967,Comedy drama; Romance; Coming-of-age,Comedy drama; Romance; Coming-of-age,Mike Nichols,,,https://www.wikidata.org/w/index.php?search=The%20Graduate,Director/creator baseline added,,,,Film
Dolemite is My Name,Film,David Sedman,Important or Influential,,2019,Comedy; Biography,Comedy; Biography,Craig Brewer,,,https://www.wikidata.org/w/index.php?search=Dolemite%20is%20My%20Name,Director/creator baseline added,,,,Film
Lagaan: Once Upon a Time in India,Film,David Sedman,Important or Influential,,2001,Drama; Sports; Musical,Drama; Sports; Musical,Ashutosh Gowariker,,,https://www.wikidata.org/w/index.php?search=Lagaan%3A%20Once%20Upon%20a%20Time%20in%20India,Director/creator baseline added,,,,Film
Police Story,Film,David Sedman,Important or Influential,,1985,Action; Comedy; Crime,Action; Comedy; Crime,Jackie Chan,,,https://www.wikidata.org/w/index.php?search=Police%20Story,Director/creator baseline added,,,,Film
Rear Window,Film,Sean Griffin,Personal Top 10,,1954,Mystery; Thriller,Mystery; Thriller,Alfred Hitchcock,,,https://www.wikidata.org/w/index.php?search=Rear%20Window,Director/creator baseline added,,,,Film
Rear Window,Film,Mark Kerins,Personal Top 10,,1954,Mystery; Thriller,Mystery; Thriller,Alfred Hitchcock,,,https://www.wikidata.org/w/index.php?search=Rear%20Window,Director/creator baseline added,,,,Film
Moonlight,Film,Sean Griffin,Personal Top 10,,2016,Drama; Coming-of-age,Drama; Coming-of-age,Barry Jenkins,,,https://www.wikidata.org/w/index.php?search=Moonlight,Director/creator baseline added,,,,Film
Moonlight,Film,Michelle Glasby-Millington,Important or Influential,,2016,Drama; Coming-of-age,Drama; Coming-of-age,Barry Jenkins,,,https://www.wikidata.org/w/index.php?search=Moonlight,Director/creator baseline added,,,,Film
Aladdin,Film,Sean Griffin,Inspired my work,,1992,Animation; Fantasy; Musical; Comedy,Animation; Fantasy; Musical; Comedy,John Musker; Ron Clements,,,https://www.wikidata.org/w/index.php?search=Aladdin,Director/creator baseline added,,,,Animated Film
The Gang's All Here,Film,Sean Griffin,Inspired my work,,1943,Musical; Comedy,Musical; Comedy,Busby Berkeley,,,https://www.wikidata.org/w/index.php?search=The%20Gang%27s%20All%20Here,Director/creator baseline added,,,,Film
Paris is Burning,Film,Sean Griffin,Inspired my work,,1990,Documentary,Documentary,Jennie Livingston,,,https://www.wikidata.org/w/index.php?search=Paris%20is%20Burning,Director/creator baseline added,,,,Documentary Film
All that Heaven Allows,Film,Sean Griffin,Important or Influential,,1955,Melodrama; Romance,Melodrama; Romance,Douglas Sirk,,,https://www.wikidata.org/w/index.php?search=All%20that%20Heaven%20Allows,Director/creator baseline added,,,,Film
Do the Right Thing,Film,Sean Griffin,Important or Influential,,1989,Comedy drama; Social drama,Comedy drama; Social drama,Spike Lee,,,https://www.wikidata.org/w/index.php?search=Do%20the%20Right%20Thing,Director/creator baseline added,,,,Film
Un Chien Andalou,Film,Sean Griffin,Important or Influential,,1929,Experimental; Surrealism; Short,Experimental; Surrealism; Short,Luis Buñuel,,,https://www.wikidata.org/w/index.php?search=Un%20Chien%20Andalou,Director/creator baseline added,,,,Film
Night and Fog (1956),Film,Sean Griffin,Important or Influential,,1956,Documentary; Short; War,Documentary; Short; War,Alain Resnais,,,https://www.wikidata.org/w/index.php?search=Night%20and%20Fog%20%281956%29,Director/creator baseline added,,,,Documentary Film
Meshes of the Afternoon,Film,Sean Griffin,Important or Influential,,1943,Experimental; Short; Surrealism,Experimental; Short; Surrealism,Maya Deren; Alexander Hammid,,,https://www.wikidata.org/w/index.php?search=Meshes%20of%20the%20Afternoon,Director/creator baseline added,,,,Film
Salt of the Earth,Film,Sean Griffin,Important or Influential,,1954,Drama; Social realism,Drama; Social realism,Herbert J. Biberman,,,https://www.wikidata.org/w/index.php?search=Salt%20of%20the%20Earth,Director/creator baseline added,,,,Film
"Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles",Film,Jennifer Prediger,Personal Top 10,,1975,Drama; Art film,Drama; Art film,Chantal Akerman,,,https://www.wikidata.org/w/index.php?search=Jeanne%20Dielman%2C%2023%20quai%20du%20Commerce%2C%201080%20Bruxelles,Director/creator baseline added,,,,Film
Janet Planet,Film,Jennifer Prediger,Personal Top 10,,2023,Drama; Coming-of-age,Drama; Coming-of-age,Annie Baker,,,https://www.wikidata.org/w/index.php?search=Janet%20Planet,Director/creator baseline added,,,,Film
Wings of Desire,Film,Jennifer Prediger,Personal Top 10,,1987,Fantasy; Drama; Romance,Fantasy; Drama; Romance,Wim Wenders,,,https://www.wikidata.org/w/index.php?search=Wings%20of%20Desire,Director/creator baseline added,,,,Film
Toni Erdmann,Film,Jennifer Prediger,Personal Top 10,,2016,Comedy drama,Comedy drama,Maren Ade,,,https://www.wikidata.org/w/index.php?search=Toni%20Erdmann,Director/creator baseline added,,,,Film
A Wedding,Film,Jennifer Prediger,Personal Top 10,,1978,Comedy drama; Satire,Comedy drama; Satire,Robert Altman,,,https://www.wikidata.org/w/index.php?search=A%20Wedding,Director/creator baseline added,,,,Film
"You, The Living",Film,Jennifer Prediger,Personal Top 10,,2007,Comedy drama; Surrealism,Comedy drama; Surrealism,Roy Andersson,,,https://www.wikidata.org/w/index.php?search=You%2C%20The%20Living,Director/creator baseline added,,,,Film
Withnail & I,Film,Jennifer Prediger,Personal Top 10,,1987,Black comedy,Black comedy,Bruce Robinson,,,https://www.wikidata.org/w/index.php?search=Withnail%20%26%20I,Director/creator baseline added,,,,Film
Playtime,Film,Jennifer Prediger,Personal Top 10,,1967,Comedy; Satire,Comedy; Satire,Jacques Tati,,,https://www.wikidata.org/w/index.php?search=Playtime,Director/creator baseline added,,,,Film
Harold and Maude,Film,Jennifer Prediger,Personal Top 10,,1971,Black comedy; Romance,Black comedy; Romance,Hal Ashby,,,https://www.wikidata.org/w/index.php?search=Harold%20and%20Maude,Director/creator baseline added,,,,Film
Mother,Film,Jennifer Prediger,Personal Top 10,,2009,Mystery; Thriller; Drama,Mystery; Thriller; Drama,Bong Joon Ho,,,https://www.wikidata.org/w/index.php?search=Mother,Director/creator baseline added,,,,Film
The Holy Mountain,Film,Jennifer Prediger,Important or Influential,,1973,Experimental; Fantasy; Surrealism,Experimental; Fantasy; Surrealism,Alejandro Jodorowsky,,,https://www.wikidata.org/w/index.php?search=The%20Holy%20Mountain,Director/creator baseline added,,,,Film
"Psychomagic, a Healing Art",Film,Jennifer Prediger,Important or Influential,,2019,Documentary,Documentary,Alejandro Jodorowsky,,,https://www.wikidata.org/w/index.php?search=Psychomagic%2C%20a%20Healing%20Art,Director/creator baseline added,,,,Documentary Film
Dreams,Film,Jennifer Prediger,Important or Influential,,1990,Fantasy; Drama; Anthology,Fantasy; Drama; Anthology,Akira Kurosawa; Ishirō Honda,,,https://www.wikidata.org/w/index.php?search=Dreams,Director/creator baseline added,,,,Film
Juliet of the Spirits,Film,Jennifer Prediger,Important or Influential,,1965,Comedy drama; Fantasy,Comedy drama; Fantasy,Federico Fellini,,,https://www.wikidata.org/w/index.php?search=Juliet%20of%20the%20Spirits,Director/creator baseline added,,,,Film
Pan's Labyrinth,Film,Jennifer Prediger,Important or Influential,,2006,Fantasy; Drama; War,Fantasy; Drama; War,Guillermo del Toro,,,https://www.wikidata.org/w/index.php?search=Pan%27s%20Labyrinth,Director/creator baseline added,,,,Film
The Shape of Water,Film,Jennifer Prediger,Important or Influential,,2017,Fantasy; Romance; Drama,Fantasy; Romance; Drama,Guillermo del Toro,,,https://www.wikidata.org/w/index.php?search=The%20Shape%20of%20Water,Director/creator baseline added,,,,Film
The Green Ray,Film,Jennifer Prediger,Important or Influential,,1986,Drama; Romance,Drama; Romance,Éric Rohmer,,,https://www.wikidata.org/w/index.php?search=The%20Green%20Ray,Director/creator baseline added,,,,Film
Space is the Place,Film,Jennifer Prediger,Important or Influential,,1974,Science fiction; Musical,Science fiction; Musical,John Coney,,,https://www.wikidata.org/w/index.php?search=Space%20is%20the%20Place,Director/creator baseline added,,,,Film
Brother from Another Planet,Film,Jennifer Prediger,Important or Influential,,1984,Science fiction; Comedy drama,Science fiction; Comedy drama,John Sayles,,,https://www.wikidata.org/w/index.php?search=Brother%20from%20Another%20Planet,Director/creator baseline added,,,,Film
Groundhog Day,Film,Jennifer Prediger,Important or Influential,,1993,Comedy; Fantasy; Romance,Comedy; Fantasy; Romance,Harold Ramis,,,https://www.wikidata.org/w/index.php?search=Groundhog%20Day,Director/creator baseline added,,,,Film
Defending Your Life,Film,Jennifer Prediger,Important or Influential,,1991,Comedy; Fantasy; Romance,Comedy; Fantasy; Romance,Albert Brooks,,,https://www.wikidata.org/w/index.php?search=Defending%20Your%20Life,Director/creator baseline added,,,,Film
A New Leaf,Film,Jennifer Prediger,Important or Influential,,1971,Black comedy; Romance,Black comedy; Romance,Elaine May,,,https://www.wikidata.org/w/index.php?search=A%20New%20Leaf,Director/creator baseline added,,,,Film
The Apartment,Film,Jennifer Prediger,Important or Influential,,1960,Comedy drama; Romance,Comedy drama; Romance,Billy Wilder,,,https://www.wikidata.org/w/index.php?search=The%20Apartment,Director/creator baseline added,,,,Film
Citizen Ruth,Film,Jennifer Prediger,Important or Influential,,1996,Comedy; Satire,Comedy; Satire,Alexander Payne,,,https://www.wikidata.org/w/index.php?search=Citizen%20Ruth,Director/creator baseline added,,,,Film
Being John Malkovich,Film,Jennifer Prediger,Important or Influential,,1999,Fantasy; Comedy; Surrealism,Fantasy; Comedy; Surrealism,Spike Jonze,,,https://www.wikidata.org/w/index.php?search=Being%20John%20Malkovich,Director/creator baseline added,,,,Film
Adaptation,Film,Jennifer Prediger,Important or Influential,,2002,Comedy drama; Metafiction,Comedy drama; Metafiction,Spike Jonze,,,https://www.wikidata.org/w/index.php?search=Adaptation,Director/creator baseline added,,,,Film
"Synecdoche, New York",Film,Jennifer Prediger,Important or Influential,,2008,Drama; Surrealism,Drama; Surrealism,Charlie Kaufman,,,https://www.wikidata.org/w/index.php?search=Synecdoche%2C%20New%20York,Director/creator baseline added,,,,Film
Get Out,Film,Jennifer Prediger,Important or Influential,,2017,Horror; Thriller; Satire,Horror; Thriller; Satire,Jordan Peele,,,https://www.wikidata.org/w/index.php?search=Get%20Out,Director/creator baseline added,,,,Film
Sorry to Bother You,Film,Jennifer Prediger,Important or Influential,,2018,Black comedy; Science fiction; Satire,Black comedy; Science fiction; Satire,Boots Riley,,,https://www.wikidata.org/w/index.php?search=Sorry%20to%20Bother%20You,Director/creator baseline added,,,,Film
The Gleaners and I,Film,Jennifer Prediger,Important or Influential,,2000,Documentary; Essay film,Documentary; Essay film,Agnès Varda,,,https://www.wikidata.org/w/index.php?search=The%20Gleaners%20and%20I,Director/creator baseline added,,,,Documentary Film
Mur Murs,Film,Jennifer Prediger,Important or Influential,,1981,Documentary; Essay film,Documentary; Essay film,Agnès Varda,,,https://www.wikidata.org/w/index.php?search=Mur%20Murs,Director/creator baseline added,,,,Documentary Film
Cameraperson,Film,Jennifer Prediger,Important or Influential,,2016,Documentary; Essay film,Documentary; Essay film,Kirsten Johnson,,,https://www.wikidata.org/w/index.php?search=Cameraperson,Director/creator baseline added,,,,Documentary Film
Dick Johnson Is Dead,Film,Jennifer Prediger,Important or Influential,,2020,Documentary; Comedy drama,Documentary; Comedy drama,Kirsten Johnson,,,https://www.wikidata.org/w/index.php?search=Dick%20Johnson%20Is%20Dead,Director/creator baseline added,,,,Documentary Film
Sherman's March,Film,Jennifer Prediger,Important or Influential,,1986,Documentary; Comedy,Documentary; Comedy,Ross McElwee,,,https://www.wikidata.org/w/index.php?search=Sherman%27s%20March,Director/creator baseline added,,,,Documentary Film
Procession,Film,Jennifer Prediger,Important or Influential,,2021,Documentary,Documentary,Robert Greene,,,https://www.wikidata.org/w/index.php?search=Procession,Director/creator baseline added,,,,Documentary Film
Gods of Times Square,Film,Jennifer Prediger,Important or Influential,,1999,Documentary,Documentary,Richard Sandler,,,https://www.wikidata.org/w/index.php?search=Gods%20of%20Times%20Square,Director/creator baseline added,,,,Documentary Film
Ma vie en rose (My Life in Pink),Film,Jennifer Prediger,Important or Influential,,1997,Drama; Comedy drama,Drama; Comedy drama,Alain Berliner,,,https://www.wikidata.org/w/index.php?search=Ma%20vie%20en%20rose%20%28My%20Life%20in%20Pink%29,Director/creator baseline added,,,,Film
Thelma & Louise,Film,Jennifer Prediger,Important or Influential,,1991,Road movie; Crime; Drama,Road movie; Crime; Drama,Ridley Scott,,,https://www.wikidata.org/w/index.php?search=Thelma%20%26%20Louise,Director/creator baseline added,,,,Film
Tootsie,Film,Jennifer Prediger,Important or Influential,,1982,Comedy,Comedy,Sydney Pollack,,,https://www.wikidata.org/w/index.php?search=Tootsie,Director/creator baseline added,,,,Film
Nashville,Film,Jennifer Prediger,Important or Influential,,1975,Musical; Comedy drama; Satire,Musical; Comedy drama; Satire,Robert Altman,,,https://www.wikidata.org/w/index.php?search=Nashville,Director/creator baseline added,,,,Film
"Paris, Texas",Film,Jennifer Prediger,Important or Influential,,1984,Drama; Road movie,Drama; Road movie,Wim Wenders,,,https://www.wikidata.org/w/index.php?search=Paris%2C%20Texas,Director/creator baseline added,,,,Film
The Square,Film,Jennifer Prediger,Important or Influential,,2017,Satire; Comedy drama,Satire; Comedy drama,Ruben Östlund,,,https://www.wikidata.org/w/index.php?search=The%20Square,Director/creator baseline added,,,,Film
Living in Oblivion,Film,Jennifer Prediger,Important or Influential,,1995,Comedy; Independent film; Filmmaking,Comedy; Independent film; Filmmaking,Tom DiCillo,,,https://www.wikidata.org/w/index.php?search=Living%20in%20Oblivion,Director/creator baseline added,,,,Film
Pee-Wee's Big Adventure,Film,Jennifer Prediger,Important or Influential,,1985,Comedy; Adventure,Comedy; Adventure,Tim Burton,,,https://www.wikidata.org/w/index.php?search=Pee-Wee%27s%20Big%20Adventure,Director/creator baseline added,,,,Film
So I Married an Axe Murderer,Film,Jennifer Prediger,Important or Influential,,1993,Romantic comedy,Romantic comedy,Thomas Schlamme,,,https://www.wikidata.org/w/index.php?search=So%20I%20Married%20an%20Axe%20Murderer,Director/creator baseline added,,,,Film
Romy and Michelle's High School Reunion,Film,Jennifer Prediger,Important or Influential,,1997,Comedy,Comedy,David Mirkin,,,https://www.wikidata.org/w/index.php?search=Romy%20and%20Michelle%27s%20High%20School%20Reunion,Director/creator baseline added,,,,Film
Little Miss Sunshine,Film,Jennifer Prediger,Important or Influential,,2006,Comedy drama; Road movie,Comedy drama; Road movie,Jonathan Dayton; Valerie Faris,,,https://www.wikidata.org/w/index.php?search=Little%20Miss%20Sunshine,Director/creator baseline added,,,,Film
Tie Me Up! Tie Me Down!,Film,Jennifer Prediger,Important or Influential,,1989,Dark comedy; Romance,Dark comedy; Romance,Pedro Almodóvar,,,https://www.wikidata.org/w/index.php?search=Tie%20Me%20Up%21%20Tie%20Me%20Down%21,Director/creator baseline added,,,,Film
Timbuktu,Film,Michelle Glasby-Millington,Personal Top 10,,2014,Drama,Drama,Abderrahmane Sissako,,,https://www.wikidata.org/w/index.php?search=Timbuktu,Director/creator baseline added,,,,Film
Night Catches Us,Film,Michelle Glasby-Millington,Personal Top 10,,2010,Drama; Historical,Drama; Historical,Tanya Hamilton,,,https://www.wikidata.org/w/index.php?search=Night%20Catches%20Us,Director/creator baseline added,,,,Film
Night Catches Us,Film,Michelle Glasby-Millington,Inspired my work,,2010,Drama; Historical,Drama; Historical,Tanya Hamilton,,,https://www.wikidata.org/w/index.php?search=Night%20Catches%20Us,Director/creator baseline added,,,,Film
In the Mood for Love,Film,Michelle Glasby-Millington,Personal Top 10,,2000,Romance; Drama,Romance; Drama,Wong Kar-wai,,,https://www.wikidata.org/w/index.php?search=In%20the%20Mood%20for%20Love,Director/creator baseline added,,,,Film
In the Mood for Love,Film,Michelle Glasby-Millington,Inspired my work,,2000,Romance; Drama,Romance; Drama,Wong Kar-wai,,,https://www.wikidata.org/w/index.php?search=In%20the%20Mood%20for%20Love,Director/creator baseline added,,,,Film
In the Mood for Love,Film,Michelle Glasby-Millington,Important or Influential,,2000,Romance; Drama,Romance; Drama,Wong Kar-wai,,,https://www.wikidata.org/w/index.php?search=In%20the%20Mood%20for%20Love,Director/creator baseline added,,,,Film
Carmen,Film,Michelle Glasby-Millington,Personal Top 10,,1983,Musical; Drama,Musical; Drama,Carlos Saura,,,https://www.wikidata.org/w/index.php?search=Carmen,Director/creator baseline added,,,,Film
Carmen,Film,Michelle Glasby-Millington,Inspired my work,,1983,Musical; Drama,Musical; Drama,Carlos Saura,,,https://www.wikidata.org/w/index.php?search=Carmen,Director/creator baseline added,,,,Film
The Revenant,Film,Michelle Glasby-Millington,Personal Top 10,,2015,Western; Adventure; Drama,Western; Adventure; Drama,Alejandro González Iñárritu,,,https://www.wikidata.org/w/index.php?search=The%20Revenant,Director/creator baseline added,,,,Film
The Revenant,Film,Michelle Glasby-Millington,Inspired my work,,2015,Western; Adventure; Drama,Western; Adventure; Drama,Alejandro González Iñárritu,,,https://www.wikidata.org/w/index.php?search=The%20Revenant,Director/creator baseline added,,,,Film
The Revenant,Film,Michelle Glasby-Millington,Important or Influential,,2015,Western; Adventure; Drama,Western; Adventure; Drama,Alejandro González Iñárritu,,,https://www.wikidata.org/w/index.php?search=The%20Revenant,Director/creator baseline added,,,,Film
Monsoon Wedding,Film,Michelle Glasby-Millington,Personal Top 10,,2001,Comedy drama; Romance,Comedy drama; Romance,Mira Nair,,,https://www.wikidata.org/w/index.php?search=Monsoon%20Wedding,Director/creator baseline added,,,,Film
Monsoon Wedding,Film,Michelle Glasby-Millington,Inspired my work,,2001,Comedy drama; Romance,Comedy drama; Romance,Mira Nair,,,https://www.wikidata.org/w/index.php?search=Monsoon%20Wedding,Director/creator baseline added,,,,Film
